"","formulas_with","formulas_without","pvals"
"84","response~(history+foreign)^2","response~history+foreign",0.991624233135457
"430","response~(job+num_dependents)^2","response~job+num_dependents",0.989351394883762
"343","response~(male_mar_or_wid+telephone)^2","response~male_mar_or_wid+telephone",0.988358412560706
"141","response~(furniture+employment)^2","response~furniture+employment",0.986219015486854
"167","response~(radio.tv+male_single)^2","response~radio.tv+male_single",0.984878622837008
"229","response~(amount+male_div)^2","response~amount+male_div",0.980040469312266
"284","response~(install_rate+male_single)^2","response~install_rate+male_single",0.979437150394432
"287","response~(install_rate+guarantor)^2","response~install_rate+guarantor",0.976803864750992
"208","response~(retraining+install_rate)^2","response~retraining+install_rate",0.976455261366799
"149","response~(furniture+real_estate)^2","response~furniture+real_estate",0.975772160511359
"329","response~(male_single+telephone)^2","response~male_single+telephone",0.972497277406369
"428","response~(num_credits+telephone)^2","response~num_credits+telephone",0.972107824160924
"231","response~(amount+male_mar_or_wid)^2","response~amount+male_mar_or_wid",0.969448567863869
"368","response~(guarantor+telephone)^2","response~guarantor+telephone",0.968021172829896
"335","response~(male_mar_or_wid+prop_unkn_none)^2","response~male_mar_or_wid+prop_unkn_none",0.963740819801485
"153","response~(furniture+rent)^2","response~furniture+rent",0.961542058373216
"125","response~(used_car+real_estate)^2","response~used_car+real_estate",0.961327119600602
"176","response~(radio.tv+rent)^2","response~radio.tv+rent",0.960445946514906
"389","response~(real_estate+telephone)^2","response~real_estate+telephone",0.955395628841584
"327","response~(male_single+job)^2","response~male_single+job",0.952926616903027
"256","response~(sav_acct+age)^2","response~sav_acct+age",0.948199788648008
"419","response~(rent+telephone)^2","response~rent+telephone",0.946320762436827
"331","response~(male_mar_or_wid+co.applicant)^2","response~male_mar_or_wid+co.applicant",0.941629337545862
"272","response~(employment+real_estate)^2","response~employment+real_estate",0.936546124110525
"374","response~(present_resident+rent)^2","response~present_resident+rent",0.926444560508783
"223","response~(retraining+num_dependents)^2","response~retraining+num_dependents",0.925147583608282
"52","response~(duration+own_res)^2","response~duration+own_res",0.914425003747358
"372","response~(present_resident+age)^2","response~present_resident+age",0.91314216539586
"340","response~(male_mar_or_wid+num_credits)^2","response~male_mar_or_wid+num_credits",0.910524274238282
"353","response~(co.applicant+num_credits)^2","response~co.applicant+num_credits",0.909254783431169
"282","response~(employment+foreign)^2","response~employment+foreign",0.906334034850474
"178","response~(radio.tv+num_credits)^2","response~radio.tv+num_credits",0.899279522248946
"132","response~(used_car+job)^2","response~used_car+job",0.897444586287987
"129","response~(used_car+rent)^2","response~used_car+rent",0.893951218757822
"299","response~(install_rate+foreign)^2","response~install_rate+foreign",0.891049594813254
"28","response~(chk_acct+telephone)^2","response~chk_acct+telephone",0.887847627072782
"35","response~(duration+education)^2","response~duration+education",0.885163567154374
"54","response~(duration+job)^2","response~duration+job",0.878953149672821
"334","response~(male_mar_or_wid+real_estate)^2","response~male_mar_or_wid+real_estate",0.877559858945932
"148","response~(furniture+present_resident)^2","response~furniture+present_resident",0.876256751324627
"64","response~(history+amount)^2","response~history+amount",0.874471635645129
"358","response~(guarantor+present_resident)^2","response~guarantor+present_resident",0.870293146745276
"105","response~(new_car+own_res)^2","response~new_car+own_res",0.869811665341203
"201","response~(education+job)^2","response~education+job",0.865603737200538
"347","response~(co.applicant+real_estate)^2","response~co.applicant+real_estate",0.865357512146415
"179","response~(radio.tv+job)^2","response~radio.tv+job",0.864223758064868
"140","response~(furniture+sav_acct)^2","response~furniture+sav_acct",0.863676784081912
"126","response~(used_car+prop_unkn_none)^2","response~used_car+prop_unkn_none",0.858470538040702
"117","response~(used_car+employment)^2","response~used_car+employment",0.849296154648528
"424","response~(own_res+telephone)^2","response~own_res+telephone",0.849218774928741
"62","response~(history+education)^2","response~history+education",0.844584627774667
"209","response~(retraining+male_div)^2","response~retraining+male_div",0.840568396823008
"13","response~(chk_acct+male_div)^2","response~chk_acct+male_div",0.84017050758268
"145","response~(furniture+male_mar_or_wid)^2","response~furniture+male_mar_or_wid",0.840052874558042
"311","response~(male_div+num_credits)^2","response~male_div+num_credits",0.837468677944063
"34","response~(duration+radio.tv)^2","response~duration+radio.tv",0.836662897847187
"104","response~(new_car+rent)^2","response~new_car+rent",0.835570595384942
"387","response~(real_estate+job)^2","response~real_estate+job",0.832429321003007
"308","response~(male_div+other_install)^2","response~male_div+other_install",0.831328414996444
"4","response~(chk_acct+used_car)^2","response~chk_acct+used_car",0.829834761786061
"96","response~(new_car+male_mar_or_wid)^2","response~new_car+male_mar_or_wid",0.827432018029411
"407","response~(age+foreign)^2","response~age+foreign",0.816446664205974
"94","response~(new_car+male_div)^2","response~new_car+male_div",0.816024959729135
"253","response~(sav_acct+present_resident)^2","response~sav_acct+present_resident",0.813396165889116
"185","response~(education+sav_acct)^2","response~education+sav_acct",0.807548676778649
"41","response~(duration+male_div)^2","response~duration+male_div",0.80700789551696
"269","response~(employment+co.applicant)^2","response~employment+co.applicant",0.805625400209535
"364","response~(guarantor+own_res)^2","response~guarantor+own_res",0.79453942481434
"377","response~(present_resident+job)^2","response~present_resident+job",0.791912774317927
"215","response~(retraining+real_estate)^2","response~retraining+real_estate",0.790705078566969
