"","formula","accuracy","cutoff","roc_auc","sensitivity","specificity","hoslem"
"415","response~(rent+own_res)^2",0.653333333333333,0.641025641025634,0.558965014577259,0.755102040816326,0.357142857142857,0
"416","response~(rent+num_credits)^2",0.453333333333333,0.679780313937316,0.571263362487852,0.455102040816327,0.652380952380952,0
"417","response~(rent+job)^2",0.636666666666667,0.673499888061014,0.542293488824101,0.728571428571429,0.361904761904762,0
"418","response~(rent+num_dependents)^2",0.633333333333333,0.686868686868547,0.533809523809524,0.726530612244898,0.333333333333333,0
"419","response~(rent+telephone)^2",0.68,0.651162790697659,0.527001943634597,0.846938775510204,0.2,0
"420","response~(rent+foreign)^2",0.69,0.630630630630631,0.543537414965986,0.857142857142857,0.195238095238095,0
"421","response~(own_res+num_credits)^2",0.446666666666667,0.695310195518639,0.592040816326531,0.308163265306122,0.819047619047619,0
"422","response~(own_res+job)^2",0.626666666666667,0.695042502934009,0.568134110787172,0.669387755102041,0.471428571428571,NA
"423","response~(own_res+num_dependents)^2",0.653333333333333,0.631901840490795,0.563872691933916,0.755102040816326,0.357142857142857,0
"424","response~(own_res+telephone)^2",0.653333333333333,0.632183908045974,0.560932944606414,0.755102040816326,0.357142857142857,0
"425","response~(own_res+foreign)^2",0.663333333333333,0.608465608465608,0.57245869776482,0.76530612244898,0.352380952380952,0
"426","response~(num_credits+job)^2",0.466666666666667,0.696973758732044,0.539650145772595,0.336734693877551,0.728571428571429,0
"427","response~(num_credits+num_dependents)^2",0.473333333333333,0.689578676336125,0.530379008746356,0.371428571428571,0.680952380952381,0
"428","response~(num_credits+telephone)^2",0.473333333333333,0.688495006970173,0.529863945578231,0.371428571428571,0.680952380952381,0
"429","response~(num_credits+foreign)^2",0.48,0.672874192066571,0.548605442176871,0.406122448979592,0.676190476190476,0
"430","response~(job+num_dependents)^2",0.613333333333333,0.687888585959285,0.525986394557823,0.781632653061225,0.276190476190476,0
"431","response~(job+telephone)^2",0.556666666666667,0.692240677178123,0.539572400388727,0.459183673469388,0.6,0
"432","response~(job+foreign)^2",0.326666666666667,0.702835556318726,0.535233236151603,0.0673469387755102,0.980952380952381,0
"433","response~(num_dependents+telephone)^2",0.53,0.695833333333125,0.52407677356657,0.569387755102041,0.461904761904762,0
"434","response~(num_dependents+foreign)^2",0.316666666666667,0.694736842105263,0.529786200194363,0.0530612244897959,0.990476190476191,0
"435","response~(telephone+foreign)^2",0.523333333333333,0.679389312977099,0.536093294460641,0.455102040816327,0.6,0
