"","formulas_with","formulas_without","pvals"
"87","response~(chk_acct+used_car+sav_acct)^3","response~chk_acct+used_car+sav_acct",0.305615661310634
"452","response~(duration+new_car+other_install)^3","response~duration+new_car+other_install",0.305099816152308
"3135","response~(employment+male_single+num_credits)^3","response~employment+male_single+num_credits",0.304870457629097
"671","response~(duration+male_single+age)^3","response~duration+male_single+age",0.30446557928732
"3647","response~(male_mar_or_wid+real_estate+num_credits)^3","response~male_mar_or_wid+real_estate+num_credits",0.30445966141735
"2144","response~(radio.tv+install_rate+prop_unkn_none)^3","response~radio.tv+install_rate+prop_unkn_none",0.304119840648828
"2588","response~(retraining+install_rate+rent)^3","response~retraining+install_rate+rent",0.304027341938266
"3643","response~(male_mar_or_wid+real_estate+age)^3","response~male_mar_or_wid+real_estate+age",0.303504679476567
"351","response~(chk_acct+present_resident+foreign)^3","response~chk_acct+present_resident+foreign",0.303478170845221
"1759","response~(used_car+num_dependents+foreign)^3","response~used_car+num_dependents+foreign",0.303289256226301
"3747","response~(co.applicant+other_install+rent)^3","response~co.applicant+other_install+rent",0.303222717769052
"2289","response~(radio.tv+telephone+foreign)^3","response~radio.tv+telephone+foreign",0.303003818306184
"340","response~(chk_acct+guarantor+foreign)^3","response~chk_acct+guarantor+foreign",0.30278787082234
"1942","response~(furniture+male_mar_or_wid+job)^3","response~furniture+male_mar_or_wid+job",0.302052312818946
"2691","response~(retraining+prop_unkn_none+job)^3","response~retraining+prop_unkn_none+job",0.301983008899854
"2614","response~(retraining+male_single+present_resident)^3","response~retraining+male_single+present_resident",0.301319795925718
"949","response~(history+sav_acct+male_single)^3","response~history+sav_acct+male_single",0.301149226971076
"416","response~(duration+history+install_rate)^3","response~duration+history+install_rate",0.300979975616735
"3078","response~(sav_acct+own_res+job)^3","response~sav_acct+own_res+job",0.300923224935677
"3299","response~(install_rate+co.applicant+job)^3","response~install_rate+co.applicant+job",0.300110268020272
"16","response~(chk_acct+duration+guarantor)^3","response~chk_acct+duration+guarantor",0.300014612676475
"3571","response~(male_single+age+rent)^3","response~male_single+age+rent",0.299990723099398
"2974","response~(sav_acct+male_single+guarantor)^3","response~sav_acct+male_single+guarantor",0.299448804360481
"1293","response~(new_car+employment+male_mar_or_wid)^3","response~new_car+employment+male_mar_or_wid",0.29942690249725
"3175","response~(employment+guarantor+job)^3","response~employment+guarantor+job",0.299363938968111
"1270","response~(new_car+amount+foreign)^3","response~new_car+amount+foreign",0.299320522232476
"1796","response~(furniture+education+prop_unkn_none)^3","response~furniture+education+prop_unkn_none",0.298747899210855
"3286","response~(install_rate+male_mar_or_wid+job)^3","response~install_rate+male_mar_or_wid+job",0.298545659084584
"3912","response~(real_estate+age+foreign)^3","response~real_estate+age+foreign",0.298230019535675
"1479","response~(used_car+furniture+own_res)^3","response~used_car+furniture+own_res",0.298119851097491
"1307","response~(new_car+employment+foreign)^3","response~new_car+employment+foreign",0.297983497199467
"3524","response~(male_single+co.applicant+job)^3","response~male_single+co.applicant+job",0.297769980695833
"218","response~(chk_acct+sav_acct+install_rate)^3","response~chk_acct+sav_acct+install_rate",0.297706865042615
"3404","response~(male_div+male_mar_or_wid+own_res)^3","response~male_div+male_mar_or_wid+own_res",0.297514406884744
