"","formulas_with","formulas_without","pvals"
"2040","response~(radio.tv+education+employment)^3","response~radio.tv+education+employment",0.00245804875364907
"2124","response~(radio.tv+employment+guarantor)^3","response~radio.tv+employment+guarantor",0.00239063026817199
"2677","response~(retraining+real_estate+age)^3","response~retraining+real_estate+age",0.0023870748361698
"591","response~(duration+amount+job)^3","response~duration+amount+job",0.002352835441332
"2130","response~(radio.tv+employment+rent)^3","response~radio.tv+employment+rent",0.00224029410128427
"2500","response~(education+rent+own_res)^3","response~education+rent+own_res",0.00212836286370197
"1765","response~(furniture+radio.tv+employment)^3","response~furniture+radio.tv+employment",0.00208984590364424
"1189","response~(new_car+radio.tv+employment)^3","response~new_car+radio.tv+employment",0.00191083860876795
"3169","response~(employment+guarantor+prop_unkn_none)^3","response~employment+guarantor+prop_unkn_none",0.00183663547262676
"2305","response~(education+retraining+own_res)^3","response~education+retraining+own_res",0.00176106989192277
"2532","response~(retraining+amount+age)^3","response~retraining+amount+age",0.00168828279373101
"1819","response~(furniture+retraining+other_install)^3","response~furniture+retraining+other_install",0.00161526973818568
"769","response~(duration+rent+foreign)^3","response~duration+rent+foreign",0.00161158620600762
"198","response~(chk_acct+amount+employment)^3","response~chk_acct+amount+employment",0.00139382451227528
"246","response~(chk_acct+employment+other_install)^3","response~chk_acct+employment+other_install",0.00138892638547945
"1008","response~(history+male_div+other_install)^3","response~history+male_div+other_install",0.00118106998564574
"918","response~(history+retraining+other_install)^3","response~history+retraining+other_install",0.00115765537398633
"464","response~(duration+used_car+amount)^3","response~duration+used_car+amount",0.00103527701599796
"2501","response~(education+rent+num_credits)^3","response~education+rent+num_credits",0.000991307533011572
"2709","response~(retraining+other_install+foreign)^3","response~retraining+other_install+foreign",0.00088991661973185
"48","response~(chk_acct+history+other_install)^3","response~chk_acct+history+other_install",0.000798355283361613
"765","response~(duration+rent+num_credits)^3","response~duration+rent+num_credits",0.000785728642239155
"244","response~(chk_acct+employment+prop_unkn_none)^3","response~chk_acct+employment+prop_unkn_none",0.00073348280346075
"2127","response~(radio.tv+employment+prop_unkn_none)^3","response~radio.tv+employment+prop_unkn_none",0.000682341976103742
"2570","response~(retraining+employment+other_install)^3","response~retraining+employment+other_install",0.000568870172938452
"447","response~(duration+new_car+guarantor)^3","response~duration+new_car+guarantor",0.000449301942191079
"135","response~(chk_acct+radio.tv+employment)^3","response~chk_acct+radio.tv+employment",0.000422032398253722
"2696","response~(retraining+age+rent)^3","response~retraining+age+rent",0.000379461147238005
"2506","response~(education+own_res+num_credits)^3","response~education+own_res+num_credits",0.000161788765746228
"593","response~(duration+amount+telephone)^3","response~duration+amount+telephone",9.08241801188123e-05
"2695","response~(retraining+age+other_install)^3","response~retraining+age+other_install",8.02720176565706e-05
"189","response~(chk_acct+retraining+other_install)^3","response~chk_acct+retraining+other_install",5.86642726742453e-06
