"mod","aics","bics","lrts"
1,6776.78336642093,6866.52766418005,3.69657453080375e-31
2,6554.38503324224,6644.12933100136,3.00164765873043e-11
3,6769.71056734373,6859.45486510284,2.02451760912445e-30
4,6724.93804577097,6814.68234353009,6.92802434358921e-26
5,6568.4467703785,6630.57743805789,1.66970770663922e-12
6,6570.7677949275,6660.51209268662,1.91637917878761e-12
7,6801.09281231506,6877.03029503432,7.10369395937306e-34
8,6762.6676532642,6817.89491342366,5.03293931889327e-30
9,6582.80900571194,6644.93967339133,1.36517850987326e-13
10,6571.99242769719,6647.92991041644,1.18708241836243e-12
11,6544.0118545667,6633.75615232582,1.61121208986979e-10
12,6426.16407722174,6502.101559941,0.000584891634475546
13,6756.18183449997,6818.31250217936,2.7259306131857e-29
14,6580.04666483259,6642.17733251198,2.22454006906891e-13
15,6531.60293127142,6600.63700647074,7.74572477377516e-10
16,6652.94570812587,6735.78659836505,3.23824550861592e-19
17,6781.11526301839,6863.95615325758,1.11076697803547e-31
18,6932.14147479542,7001.17554999474,6.51306859564356e-49
19,6622.48258086966,6691.51665606899,1.01406828716864e-16
20,6562.0306923552,6644.87158259439,7.39045462776002e-12
21,6620.67787605517,6710.42217381429,2.20156705285511e-16
22,6442.60272403273,6511.63679923205,9.88134954714465e-05
23,6729.59830746489,6819.34260522401,2.40082973461886e-26
24,6569.38344205412,6631.51410973351,1.42189187534536e-12
25,6567.92385503841,6650.7647452776,2.72648323432144e-12
26,6574.49846832045,6629.72572847991,5.13237016421512e-13
27,6632.29539098299,6715.13628122218,2.00605035612874e-17
28,6443.84602497024,6505.97669264963,7.84942507237038e-05
29,6760.17825745951,6801.5987025791,6.68117224973042e-30
30,6582.64237800562,6630.96623064514,1.0697422505308e-13
31,6580.10981578179,6656.04729850104,2.8879719652548e-13
32,6548.50033468891,6631.3412249281,6.88490785666687e-11
33,6424.77279595393,6473.09664859346,0.000471755599843019
34,6407.56702291891,6490.4079131581,0.0034738008973582
35,6529.47470784731,6577.79856048684,7.39241595514221e-10
36,6672.39954550839,6741.43362070771,4.3007548537764e-21
37,6776.09895776779,6858.93984800698,3.73752451819905e-31
38,6920.76042987598,6975.98769003544,1.11198220759634e-47
39,6653.12050879747,6722.1545839968,2.33013818526865e-19
40,6556.79066558906,6625.82474078838,1.36231431663114e-11
41,6638.63023581862,6700.76090349801,3.72086719535891e-18
42,6473.24690965557,6521.57076229509,2.01148052279454e-06
43,6724.22777126121,6793.26184646054,5.15237035117161e-26
44,6568.44879648592,6637.48287168525,1.90811825548959e-12
45,6589.9531523427,6645.18041250216,3.31556849336707e-14
46,6572.02863546153,6634.15930314092,9.01468771911352e-13
47,6660.21248440038,6722.34315207977,4.69780151207007e-20
48,6482.73406430779,6531.05791694732,5.93008370393882e-07
49,6760.10290084206,6822.23356852145,1.07880510991575e-29
50,6583.56531751768,6638.79257767714,1.04103976194392e-13
51,6609.10716828138,6657.4310209209,8.45197050483255e-16
52,6543.80653632738,6605.93720400677,9.97083744712392e-11
53,6424.23448739489,6458.75152499455,0.00041688496379507
54,6443.25510167692,6484.67554679652,6.27308707075189e-05
55,6530.07164117873,6578.39549381825,6.74089170782268e-10
56,6577.96449615983,6646.99857135915,3.67372299970277e-13
57,6680.05379121504,6749.08786641436,8.51373144409346e-22
58,6480.95104300126,6543.08171068065,9.33750593472332e-07
59,6784.21027485256,6853.24435005188,3.84649704837266e-32
60,6576.78624360707,6645.8203188064,4.51437780684675e-13
61,6610.0126541472,6679.04672934652,1.0888735783132e-15
62,6546.53997954615,6601.76723970561,5.64125599574146e-11
63,6419.64985698631,6474.87711714577,0.000844018848620483
64,6440.64071970609,6502.77138738548,0.000110951399164639
65,6522.58810701577,6598.52558973502,3.46323900546048e-09
66,6559.50007333833,6614.72733349779,6.66076788820829e-12
67,6423.93557537427,6479.16283553373,0.00055905300181297
68,6444.16583514458,6506.29650282397,7.58051166076249e-05
69,6535.65312406498,6590.88038422444,3.20317504048341e-10
70,6387.882884032,6443.11014419145,0.0124628365133871
71,6566.67456586577,6635.70864106509,2.58325741187811e-12
72,6785.15830242496,6861.09578514422,3.56285010534278e-32
73,6734.33896663411,6810.27644935336,5.97804133631475e-27
74,6583.43924423441,6652.47331943374,1.39958542446511e-13
75,6571.32791609596,6640.36199129528,1.16378537472233e-12
76,6529.34118815974,6584.5684483192,8.55133783841882e-10
77,6433.81224361056,6495.94291128995,0.000227254963721406
78,6731.94240364557,6800.9764788449,8.88816759565979e-27
79,6580.34980355451,6656.28728627376,2.76860675409023e-13
80,6519.06300985959,6588.09708505892,5.18879510552434e-09
81,6583.72901481992,6652.76309001925,1.32943432703126e-13
82,6545.39325640183,6600.62051656128,6.79070330618931e-11
83,6443.24931896184,6505.37998664123,8.37559152107907e-05
84,6761.61590981568,6823.74657749507,7.53550334363914e-30
85,6598.03186340388,6687.776161163,1.52842233235606e-14
86,6535.07829400113,6590.30555416059,3.50549790604817e-10
87,6545.74803252954,6580.2650701292,4.35228544941684e-11
88,6441.85810231814,6510.89217751747,0.000107050976494663
89,6395.54934774893,6450.77660790839,0.00690605211361388
90,6535.15703159227,6597.28769927166,3.9288720803752e-10
91,6568.33350300231,6637.36757820163,1.94613184673121e-12
92,6683.59526136577,6752.62933656509,3.99788769413387e-22
93,6500.94578530663,6563.07645298602,6.29710679696217e-08
94,6730.99160022935,6793.12226790874,9.48350781992535e-27
95,6580.21754986273,6656.15503258199,2.83377188415824e-13
96,6619.92463731861,6682.055304998,1.43767599974066e-16
97,6530.82927486883,6586.05653502828,6.79546618182436e-10
98,6431.95601322145,6500.99008842078,0.000300890878391998
99,6440.02586076928,6502.15652844867,0.000118484878929579
100,6516.73432976268,6592.67181248194,8.26915048836406e-09
101,6544.62057785457,6599.84783801402,7.69198432581387e-11
102,6440.8525860225,6509.88666122182,0.000119212922873407
103,6443.03149524435,6512.06557044367,9.43469676947099e-05
104,6531.47976366098,6586.70702382044,6.14392841926944e-10
105,6393.76174542902,6455.89241310841,0.00854771102214707
106,6565.42706870441,6634.46114390374,3.19389841695554e-12
107,6640.36552081027,6702.49618848966,2.63400278301141e-18
108,6480.18427506199,6542.31494274138,1.03117061840586e-06
109,6729.57951619383,6791.71018387322,1.30945404128049e-26
110,6580.81781624027,6649.8518914396,2.22509861492762e-13
111,6588.30946152909,6657.34353672841,5.87043007617534e-14
112,6528.30479387963,6583.53205403908,1.00296399810793e-09
113,6434.76937875118,6496.90004643057,0.000205870967846986
