"","mod","aics","bics","lrts"
"1",1,7021.48622564259,7049.09985572232,2.25987360861965e-60
"2",2,7022.72155824754,7043.43178080733,1.3595728239896e-60
"3",3,7108.17040589663,7135.78403597636,1.13852606768925e-71
"4",4,7141.80597044348,7155.61278548335,2.6366072968599e-76
"5",5,6734.27025514786,6761.88388522758,2.08318004491657e-27
"6",6,6870.93011862582,6898.54374870555,4.1054311265638e-42
"7",7,7075.74515174862,7096.45537430841,1.90834124614699e-67
"8",8,6691.78723715048,6712.49745971028,2.39057485935491e-23
"9",9,6818.54808037624,6846.16171045597,3.07179674044572e-36
"10",10,7166.52338515744,7180.33020019731,1.14714615461118e-79
"11",11,7166.52338515744,7180.33020019731,1.14714615461118e-79
"12",12,6754.79216344189,6782.40579352162,1.7546394323548e-29
"13",13,6813.41718836434,6834.12741092414,9.56423138925909e-36
"14",14,7063.72628148682,7084.43650404661,7.09745395664809e-66
"15",15,6730.0800789436,6750.79030150339,4.67323500159133e-27
"16",16,6988.73833651073,7016.35196659046,3.0388889713805e-56
"17",17,7028.43294194847,7042.23975698833,2.19597826201826e-61
"18",18,6698.06494387787,6718.77516643767,6.07745924448943e-24
"19",19,6814.25047895362,6834.96070151341,7.75963325023622e-36
"20",20,6977.55775466188,6998.26797722168,6.43941943822314e-55
"21",21,6675.17019347698,6702.78382355671,9.80708786405815e-22
"22",22,7179.91900310015,7186.82241062009,1.46289821232112e-81
"23",23,6758.38388892196,6785.99751900169,7.51401737261894e-30
"24",24,6966.29710669933,6993.91073677906,1.83772794839156e-53
"25",25,7085.57778816334,7113.19141824307,1.12181957986358e-68
"26",26,6714.71113579719,6742.32476587692,1.76651265755454e-25
"27",27,6762.13848694716,6789.75211702689,3.08475165642358e-30
"28",28,6978.06315596016,7005.67678603989,6.46910552081004e-55
"29",29,7089.76471235246,7103.57152739233,2.3735314959402e-69
"30",30,6729.45656091013,6757.07019098986,6.27800830930563e-27
"31",31,6656.35241542729,6683.96604550701,4.97651336762348e-20
"32",32,6712.57486938202,6733.28509194182,2.44818549004272e-25
"33",33,6510.21105993574,6530.92128249554,8.19783540934602e-09
"34",34,6881.23302859883,6901.94325115863,2.29015520822222e-43
"35",35,6668.45826840446,6689.16849096425,3.47682078385538e-21
"36",36,6641.74026431688,6669.35389439661,9.66494567495199e-19
"37",37,7021.48622564259,7049.09985572232,2.25987360861965e-60
"38",38,7022.72155824754,7043.43178080733,1.3595728239896e-60
"39",39,7108.17040589663,7135.78403597636,1.13852606768925e-71
"40",40,7141.80597044348,7155.61278548335,2.6366072968599e-76
"41",41,6734.27025514786,6761.88388522758,2.08318004491657e-27
"42",42,6870.93011862582,6898.54374870555,4.1054311265638e-42
"43",43,7075.74515174862,7096.45537430841,1.90834124614699e-67
"44",44,6691.78723715048,6712.49745971028,2.39057485935491e-23
"45",45,6818.54808037624,6846.16171045597,3.07179674044572e-36
"46",46,7166.52338515744,7180.33020019731,1.14714615461118e-79
"47",47,7166.52338515744,7180.33020019731,1.14714615461118e-79
"48",48,6754.79216344189,6782.40579352162,1.7546394323548e-29
"49",49,6813.41718836434,6834.12741092414,9.56423138925909e-36
"50",50,7063.72628148682,7084.43650404661,7.09745395664809e-66
"51",51,6730.0800789436,6750.79030150339,4.67323500159133e-27
"52",52,6988.73833651073,7016.35196659046,3.0388889713805e-56
"53",53,7028.43294194847,7042.23975698833,2.19597826201826e-61
"54",54,6698.06494387787,6718.77516643767,6.07745924448943e-24
"55",55,6814.25047895362,6834.96070151341,7.75963325023622e-36
"56",56,6977.55775466188,6998.26797722168,6.43941943822314e-55
"57",57,6675.17019347698,6702.78382355671,9.80708786405815e-22
"58",58,7179.91900310015,7186.82241062009,1.46289821232112e-81
"59",59,6758.38388892196,6785.99751900169,7.51401737261894e-30
"60",60,6966.29710669933,6993.91073677906,1.83772794839156e-53
"61",61,7085.57778816334,7113.19141824307,1.12181957986358e-68
"62",62,6714.71113579719,6742.32476587692,1.76651265755454e-25
"63",63,6762.13848694716,6789.75211702689,3.08475165642358e-30
"64",64,6978.06315596016,7005.67678603989,6.46910552081004e-55
"65",65,7089.76471235246,7103.57152739233,2.3735314959402e-69
"66",66,6729.45656091013,6757.07019098986,6.27800830930563e-27
"67",67,6656.35241542729,6683.96604550701,4.97651336762348e-20
"68",68,6712.57486938202,6733.28509194182,2.44818549004272e-25
"69",69,6510.21105993574,6530.92128249554,8.19783540934602e-09
"70",70,6881.23302859883,6901.94325115863,2.29015520822222e-43
"71",71,6668.45826840446,6689.16849096425,3.47682078385538e-21
"72",72,6641.74026431688,6669.35389439661,9.66494567495199e-19
