"mod","aics","bics","lrts"
1,6518.98448426228,6657.05263466093,1.76116382203038e-08
2,6412.15853066126,6529.51645850011,0.00346804084415442
3,6376.29057990188,6521.26213782045,0.0613127583708141
4,6505.00340736808,6622.36133520693,9.07645145093468e-08
5,6373.02142024156,6483.47594056047,0.0561360040105037
6,6386.13465160823,6489.68576440721,0.0226140350989589
7,6376.622179336,6493.98010717484,0.0477688740944733
8,6377.51713302051,6508.68187589922,0.0507986830943389
9,6384.60100796894,6495.05552828786,0.0267934584012853
