"","formula","aics","bics","acc"
"581",581,804.765184223228,856.295913227575,0.75875
"445",445,808.823902625187,860.354631629534,0.7525
"894",894,839.955612395325,882.117117944336,0.7525
"249",249,829.622983720785,876.469100997464,0.75125
"393",393,818.292212046887,865.138329323567,0.7475
"945",945,827.338800763156,874.184918039835,0.7475
"21",21,841.673396523319,888.519513799999,0.74625
"561",561,827.92157663138,874.767693908059,0.745
"216",216,860.586682662094,907.432799938773,0.745
"43",43,833.780765177417,875.942270726429,0.74375
"450",450,821.290048922071,868.13616619875,0.74
"716",716,811.961344330706,854.122849879717,0.73875
"205",205,830.537520171188,882.068249175535,0.73875
"632",632,833.497379826768,885.028108831116,0.7375
"826",826,837.677179324936,889.207908329284,0.7375
"229",229,845.204150759438,892.050268036117,0.7375
"206",206,833.70080337952,885.231532383867,0.73625
"856",856,843.625564730163,885.787070279175,0.73625
"137",137,820.850758798962,867.696876075642,0.735
"522",522,820.002908476842,871.53363748119,0.73375
"535",535,823.492164853258,875.022893857605,0.73375
"555",555,853.156451448547,900.002568725226,0.73375
"29",29,839.550321472305,891.081050476652,0.7325
"786",786,850.328344346535,901.859073350882,0.7325
"927",927,822.502324263892,869.348441540571,0.73125
"63",63,834.203621902439,885.734350906786,0.73125
"341",341,821.993418072845,873.524147077192,0.73
"685",685,834.011304431686,885.542033436033,0.73
"770",770,858.908987585952,905.755104862631,0.73
"241",241,827.728153413594,879.258882417941,0.72625
"430",430,848.718747061539,895.564864338218,0.72625
"744",744,904.736191157863,951.582308434542,0.72625
"892",892,841.428593450201,892.959322454549,0.725
"626",626,847.122222017822,898.65295102217,0.725
"178",178,847.396615165031,894.24273244171,0.725
"643",643,860.901730879042,912.432459883389,0.725
"373",373,879.551109186731,931.081838191078,0.725
"788",788,835.281771654777,886.812500659124,0.72375
"905",905,835.295657304904,882.141774581584,0.72375
"162",162,833.473014367734,885.003743372081,0.7225
"862",862,862.292082348309,913.822811352656,0.7225
"362",362,833.14719893328,884.677927937627,0.72125
