"","formula","aics","bics","acc"
"49",49,807.795315016842,859.326044021189,0.76375
"88",88,825.071581319445,871.917698596124,0.7625
"246",246,824.009056619756,875.539785624103,0.7575
"623",623,888.187081991937,930.348587540948,0.74875
"403",403,821.166710750798,868.012828027478,0.7475
"175",175,833.390217337375,880.236334614054,0.7475
"549",549,843.986556273941,895.517285278289,0.7475
"33",33,828.547040417594,880.077769421941,0.74375
"913",913,831.211428164318,882.742157168665,0.74375
"297",297,816.10791331984,862.954030596519,0.7425
"354",354,836.30683545904,887.837564463387,0.7425
"970",970,797.47166010318,849.002389107527,0.74
"701",701,815.830821622093,867.361550626441,0.73875
"271",271,824.815416064888,876.346145069235,0.73875
"63",63,820.829696600218,872.360425604565,0.735
"444",444,843.10646575114,889.952583027819,0.735
"878",878,839.009347396399,885.855464673078,0.73375
"990",990,841.593942334044,888.440059610723,0.7325
"372",372,819.222356351008,870.753085355356,0.73125
"906",906,824.383042691892,875.913771696239,0.73125
"318",318,842.080720275671,888.92683755235,0.73125
"663",663,886.44705946746,928.608565016471,0.73
"170",170,813.303622948323,864.83435195267,0.7275
"163",163,839.204386901723,890.73511590607,0.7275
"817",817,842.640572720367,894.171301724714,0.7275
"162",162,849.684899755702,891.846405304714,0.7275
"199",199,854.315992437465,905.846721441812,0.7275
"986",986,888.335507211014,930.497012760025,0.7275
"998",998,831.99919026847,883.529919272817,0.72375
"316",316,844.943974781479,896.474703785826,0.72375
"818",818,880.026695345314,931.557424349661,0.72375
"857",857,834.454289444424,881.300406721103,0.7225
"353",353,840.950606994469,887.796724271148,0.7225
"778",778,899.942533051716,946.788650328395,0.7225
"70",70,827.45858241504,878.989311419387,0.72125
"255",255,840.736362270638,892.267091274985,0.72125
"338",338,852.629282066008,899.475399342687,0.72125
"196",196,861.507665023686,903.669170572697,0.72125
"344",344,890.678422187379,942.209151191727,0.72125
"659",659,909.785152756245,951.946658305257,0.72125
"522",522,826.035496520365,877.566225524712,0.72
"746",746,850.335983298582,897.182100575261,0.72
"393",393,864.868143912293,911.714261188972,0.72
"423",423,882.759280079803,929.605397356483,0.72
"601",601,816.511804629495,863.357921906174,0.71875
"827",827,830.373150672773,881.90387967712,0.71875
"801",801,854.61230905235,906.143038056697,0.71875
"292",292,872.317514905123,923.84824390947,0.71875
"627",627,807.72174264096,859.252471645307,0.7175
"527",527,842.338744197775,889.184861474454,0.7175
"724",724,860.703028649803,912.23375765415,0.7175
"880",880,875.228939236105,926.759668240452,0.7175
"486",486,855.399350746512,902.245468023191,0.71625
"151",151,831.651212378947,878.497329655626,0.715
"102",102,838.176088114499,889.706817118846,0.715
"531",531,849.346664406351,891.508169955363,0.715
"143",143,896.823789028001,943.66990630468,0.71375
"106",106,846.467069685762,893.313186962442,0.7125
"3",3,873.288917088676,920.135034365356,0.7125
"457",457,886.860429499455,938.391158503802,0.7125
"218",218,892.265031037065,934.426536586076,0.7125
"702",702,917.90683101628,960.068336565291,0.7125
"845",845,924.762092048381,971.60820932506,0.7125
"374",374,796.801839151483,848.33256815583,0.71125
"761",761,833.083589002271,879.92970627895,0.71125
"714",714,844.53200085048,896.062729854828,0.71125
"305",305,846.050845373343,897.58157437769,0.71125
"566",566,851.400826741155,902.931555745502,0.71125
"252",252,881.634752995225,933.165481999572,0.71125
"328",328,915.202437803865,966.733166808212,0.71125
"621",621,915.706855418721,967.237584423068,0.71125
"536",536,814.66138570316,866.192114707507,0.71
"693",693,840.259105212631,891.789834216978,0.71
"386",386,840.816461110305,892.347190114653,0.71
"280",280,853.828141097997,900.674258374676,0.71
"813",813,868.496486077081,915.342603353761,0.71
"56",56,874.195378748616,925.726107752963,0.71
"519",519,899.944288102884,946.790405379563,0.71
"94",94,823.386121573436,874.916850577783,0.70875
"120",120,838.098483877532,889.629212881879,0.70875
"893",893,846.259853770123,897.79058277447,0.70875
"41",41,856.207387498939,907.738116503286,0.70875
"753",753,890.348394309467,941.879123313814,0.70875
"433",433,904.645845206828,956.176574211175,0.70875
"588",588,863.123241429386,914.653970433733,0.7075
"751",751,864.061610838151,910.90772811483,0.7075
"83",83,876.311931921664,927.842660926011,0.7075
"45",45,915.928413542707,967.459142547054,0.7075
"161",161,834.425177647837,885.955906652184,0.70625
"1000",1000,884.13453448067,935.665263485017,0.70625
"436",436,896.891159401203,948.42188840555,0.70625
"480",480,835.026296386421,886.557025390768,0.705
"459",459,870.77331196919,922.304040973537,0.705
"722",722,878.225581548748,925.071698825428,0.705
"938",938,883.461154717229,934.991883721576,0.705
"65",65,922.240332242913,969.086449519593,0.705
"7",7,834.492457387851,886.023186392198,0.70375
"35",35,842.029295804284,888.875413080963,0.70375
"552",552,844.724204528265,891.570321804944,0.70375
"999",999,845.461944847896,892.308062124575,0.70375
"269",269,850.393353729058,901.924082733405,0.70375
"802",802,858.181919510615,909.712648514962,0.70375
"580",580,865.309585008017,912.155702284696,0.70375
"442",442,882.646267930436,929.492385207115,0.70375
"125",125,843.022012376033,889.868129652712,0.7025
"930",930,845.99627195705,897.527000961397,0.7025
"456",456,862.049600774501,908.89571805118,0.7025
"190",190,864.002181362492,915.532910366839,0.7025
"811",811,887.393191805234,938.923920809582,0.7025
"676",676,887.911194198187,934.757311474866,0.7025
"898",898,919.534457284098,961.695962833109,0.7025
"822",822,832.021448923615,883.552177927962,0.70125
"844",844,833.434990023293,884.96571902764,0.70125
"37",37,836.729984890327,883.576102167006,0.70125
"244",244,838.920072330286,885.766189606966,0.7
"97",97,844.44994352755,891.296060804229,0.7
"147",147,855.239709407265,906.770438411613,0.7
"946",946,859.835226687002,911.365955691349,0.7
"489",489,861.077894648377,907.924011925057,0.7
"973",973,865.78754359388,917.318272598227,0.7
"592",592,884.403521912908,926.565027461919,0.7
"212",212,894.716250248272,946.24697925262,0.7
"610",610,928.975057875479,980.505786879826,0.7
"59",59,931.535740994352,978.381858271032,0.7
"683",683,839.597666020561,891.128395024908,0.69875
"791",791,841.929466583737,893.460195588085,0.69875
"265",265,864.66433433152,911.5104516082,0.69875
"284",284,875.630729133216,927.161458137564,0.69875
"416",416,877.116210266158,928.646939270505,0.69875
"245",245,822.41982553103,873.950554535378,0.6975
"174",174,840.83425773002,887.680375006699,0.6975
"529",529,841.594730065102,888.440847341781,0.6975
"905",905,870.910845629167,922.441574633514,0.6975
"863",863,885.214292090502,932.060409367181,0.6975
"540",540,886.892598235849,933.738715512528,0.6975
"732",732,901.452059420704,952.982788425051,0.6975
"167",167,916.459428915447,967.990157919795,0.6975
"939",939,844.76294398142,886.924449530432,0.69625
"760",760,846.400701022395,893.246818299074,0.69625
"569",569,850.516864488077,902.047593492424,0.69625
"523",523,853.499107384857,905.029836389205,0.69625
"206",206,857.311917666927,904.158034943606,0.69625
"77",77,859.079198804718,905.925316081398,0.69625
"824",824,863.918123171296,915.448852175644,0.69625
"370",370,866.41725014164,917.947979145987,0.69625
"441",441,884.851947156637,936.382676160985,0.69625
"309",309,892.842071736102,944.372800740449,0.69625
"989",989,914.077570508384,965.608299512731,0.69625
"545",545,925.462836015394,972.308953292074,0.69625
"585",585,837.281807423169,884.127924699848,0.695
"479",479,843.673938331197,885.835443880209,0.695
"283",283,844.129925745363,890.976043022043,0.695
"923",923,856.863199159889,899.0247047089,0.695
"139",139,857.434775783425,904.280893060104,0.695
"251",251,858.113215191296,909.643944195643,0.695
"142",142,918.079869875915,964.925987152594,0.695
"319",319,844.579274376276,896.110003380623,0.69375
"336",336,848.018612150786,899.549341155133,0.69375
"586",586,876.778145286504,928.308874290851,0.69375
"299",299,881.814614063086,928.660731339766,0.69375
"208",208,898.243453270876,945.089570547555,0.69375
"977",977,950.269907778502,997.116025055181,0.69375
"945",945,844.762288375368,896.293017379715,0.6925
"748",748,846.994769424982,889.156274973993,0.6925
"228",228,856.608334098943,903.454451375622,0.6925
"604",604,858.143076093786,909.673805098133,0.6925
"262",262,860.556255304609,912.086984308956,0.6925
"862",862,905.849454506868,952.695571783547,0.6925
"922",922,838.10544257129,889.636171575637,0.69125
"886",886,845.508171308829,897.038900313176,0.69125
"665",665,877.364849161621,924.2109664383,0.69125
