"","formula","aics","bics","acc"
"912",912,808.03435310143,859.565082105777,0.76
"943",943,841.931880832012,888.777998108691,0.7475
"469",469,816.950593707301,863.79671098398,0.745
"265",265,799.595629740746,837.072523562089,0.74375
"531",531,829.710950935103,881.24167993945,0.74375
"570",570,824.989630078956,876.520359083304,0.7425
"781",781,838.811085739125,885.657203015804,0.7425
"780",780,845.307128525315,892.153245801995,0.7425
"68",68,841.569770853674,888.415888130354,0.74125
"422",422,860.741575156561,902.903080705572,0.74125
"608",608,894.36966329691,945.900392301257,0.74
"651",651,823.267761741102,874.798490745449,0.73875
"414",414,841.708176220603,883.869681769615,0.73875
"968",968,843.737601269942,890.583718546621,0.73875
"430",430,837.039047912819,888.569776917166,0.7375
"507",507,839.345593038862,886.191710315541,0.73625
"534",534,856.126264322633,907.65699332698,0.73625
"482",482,881.196860207599,932.727589211946,0.73625
"210",210,838.41989299749,889.950622001837,0.735
"855",855,819.805156249986,871.335885254334,0.73375
"826",826,792.022369585499,843.553098589847,0.7325
"879",879,811.292102609122,858.138219885801,0.7325
"833",833,814.956190567447,857.117696116458,0.7325
"60",60,837.654928630633,884.501045907312,0.7325
"42",42,897.412489017207,944.258606293887,0.7325
"813",813,817.531632018181,869.062361022528,0.73
"326",326,827.027145731176,878.557874735523,0.73
"848",848,838.076796434326,889.607525438673,0.73
"244",244,844.933254474152,891.779371750832,0.73
"680",680,846.550134208619,893.396251485299,0.73
"460",460,832.448077530093,883.978806534441,0.72875
"281",281,833.089587796502,884.620316800849,0.72875
"929",929,840.087470756946,891.618199761293,0.72875
"428",428,861.625716414932,908.471833691611,0.7275
"819",819,858.772705903426,905.618823180106,0.72625
"418",418,861.329567469716,912.860296474063,0.72625
"164",164,862.666156146941,914.196885151288,0.72625
"757",757,853.947539397425,900.793656674104,0.725
"316",316,876.04657023415,927.577299238497,0.725
"230",230,826.752877893497,873.598995170177,0.72375
"177",177,828.542423223455,870.703928772466,0.72375
"361",361,850.224390658339,901.755119662686,0.72375
"940",940,879.831882778994,931.362611783341,0.72375
"829",829,886.927490508385,933.773607785064,0.72375
"201",201,837.799115954095,889.329844958442,0.7225
"578",578,863.001725581558,905.163231130569,0.7225
"462",462,885.286019148375,936.816748152722,0.7225
"288",288,825.336038853515,876.866767857863,0.72125
"480",480,827.244138732731,874.09025600941,0.72125
"117",117,836.078453252585,887.609182256932,0.72125
"641",641,881.908922314517,928.755039591197,0.72125
"925",925,908.812816038021,960.343545042368,0.72125
"676",676,816.972446617643,868.50317562199,0.72
"222",222,817.581097843972,864.427215120651,0.72
"204",204,847.983663668891,894.82978094557,0.72
"710",710,852.88888892778,895.050394476792,0.71875
"647",647,861.009223890334,912.539952894681,0.71875
"836",836,859.193233536338,906.039350813018,0.7175
"390",390,885.4676860394,932.313803316079,0.7175
"837",837,856.483429433677,903.329546710356,0.71625
"253",253,857.665729984262,895.142623805606,0.71625
"874",874,819.450416631294,870.981145635641,0.715
"700",700,819.55014073367,866.396258010349,0.715
"254",254,839.626763016766,886.472880293446,0.715
"479",479,842.744739538203,894.27546854255,0.715
"975",975,907.401463589239,954.247580865918,0.715
"51",51,822.650245631308,869.496362907987,0.71375
"620",620,825.478023078793,872.324140355472,0.71375
"645",645,851.888558045737,903.419287050085,0.71375
"368",368,890.764212458605,942.294941462952,0.71375
"104",104,900.520943014237,952.051672018584,0.71375
"101",101,908.926026628408,960.456755632756,0.71375
"289",289,922.000380231533,973.53110923588,0.71375
"322",322,824.051962971361,870.898080248041,0.7125
"400",400,853.370527376363,904.90125638071,0.7125
"800",800,817.476471940506,864.322589217186,0.71125
"235",235,827.714812863544,879.245541867891,0.71125
"561",561,838.483958902053,885.330076178732,0.71125
"689",689,863.448125206436,910.294242483115,0.71125
"18",18,867.932578903509,919.463307907856,0.71125
"228",228,886.80162308726,938.332352091608,0.71125
"276",276,932.777068941745,984.307797946092,0.71125
"84",84,816.693313154384,868.224042158731,0.71
"662",662,824.514153795381,871.36027107206,0.71
"9",9,829.917943701997,876.764060978676,0.71
"302",302,841.325211113935,892.855940118282,0.71
"646",646,846.513567345194,893.359684621873,0.71
"696",696,849.950462781324,892.111968330335,0.71
"994",994,855.751837775631,907.282566779979,0.71
"296",296,874.419493609002,925.950222613349,0.71
"426",426,877.443598838778,928.974327843126,0.71
"412",412,891.938958794873,938.785076071553,0.71
"194",194,897.071461148665,939.232966697677,0.71
"496",496,905.721643357466,952.567760634145,0.71
"877",877,836.090121158527,887.620850162874,0.70875
"664",664,842.233181621834,893.763910626181,0.70875
"622",622,845.605553228593,897.136282232941,0.70875
"808",808,852.125744794701,898.97186207138,0.70875
"510",510,852.814086683162,899.660203959841,0.70875
"386",386,875.567004768463,927.09773377281,0.70875
"847",847,918.700531776643,965.546649053322,0.70875
"841",841,834.583093875322,886.113822879669,0.7075
"715",715,837.796045618187,879.957551167198,0.7075
"139",139,843.189858846438,894.720587850785,0.7075
"494",494,892.432328342731,943.963057347078,0.7075
"190",190,847.13633556819,898.667064572538,0.70625
"170",170,852.756016754037,899.602134030716,0.70625
"884",884,859.546198171352,911.076927175699,0.70625
"155",155,879.570060782971,926.416178059651,0.70625
"988",988,905.384597255377,947.546102804389,0.70625
"367",367,907.687590832539,954.533708109218,0.70625
"477",477,908.335364482971,950.496870031982,0.70625
"124",124,912.866738864432,964.397467868779,0.70625
"600",600,928.312729205355,979.843458209702,0.70625
"405",405,824.41297800053,875.943707004877,0.705
"333",333,831.999557672954,874.161063221965,0.705
"914",914,875.83799206091,922.684109337589,0.705
"818",818,876.95057893461,928.481307938957,0.705
"784",784,891.880893453994,938.727010730673,0.705
"634",634,917.073379725071,963.919497001751,0.705
"769",769,926.791990117286,978.322719121633,0.705
"919",919,931.548021530413,983.078750534761,0.705
"106",106,827.259211885408,874.105329162087,0.70375
"846",846,834.414423848337,881.260541125017,0.70375
"429",429,844.683316840281,896.214045844628,0.70375
"601",601,870.244426546547,921.775155550894,0.70375
"768",768,886.524582038443,938.05531104279,0.70375
"667",667,896.724272005619,943.570389282298,0.70375
"274",274,917.841701355972,969.372430360319,0.70375
"4",4,831.267956892828,882.798685897175,0.7025
"547",547,859.027708755405,905.873826032085,0.7025
"6",6,859.09222854216,905.93834581884,0.7025
"954",954,865.511707391949,917.042436396296,0.7025
"920",920,876.272878032362,923.118995309041,0.7025
"724",724,817.546804668902,869.077533673249,0.70125
"602",602,859.539494026279,911.070223030626,0.70125
"410",410,896.665020719482,948.195749723829,0.70125
"32",32,917.875689792737,964.721807069416,0.70125
"745",745,918.836283010261,965.682400286941,0.70125
"472",472,833.220323901393,880.066441178073,0.7
"407",407,874.15228824925,920.998405525929,0.7
"709",709,876.099879736733,927.63060874108,0.7
"681",681,883.309900607864,930.156017884543,0.7
"346",346,891.245086587634,942.775815591981,0.7
"154",154,914.683628482432,961.529745759111,0.7
"58",58,930.607225366125,972.768730915136,0.7
"43",43,838.318345782504,889.849074786851,0.69875
"114",114,841.266330311601,888.112447588281,0.69875
"56",56,859.128627167797,910.659356172144,0.69875
"552",552,864.175173048129,915.705902052477,0.69875
"984",984,871.830389396035,918.676506672715,0.69875
"438",438,893.171136899306,940.017254175985,0.69875
"447",447,912.855181659191,959.70129893587,0.69875
"990",990,849.64407637491,901.174805379257,0.6975
"378",378,887.833563832684,934.679681109364,0.6975
"868",868,898.242769942185,945.088887218864,0.6975
"644",644,839.406221859167,890.936950863514,0.69625
"236",236,849.914661036018,901.445390040365,0.69625
"356",356,861.64774991096,913.178478915307,0.69625
"136",136,907.229228531678,958.759957536025,0.69625
"100",100,822.595159417189,869.441276693868,0.695
"894",894,829.951829596804,881.482558601152,0.695
"741",741,874.973531610422,921.819648887101,0.695
"466",466,878.986983702084,925.833100978763,0.695
"628",628,831.252933195797,873.414438744809,0.69375
"464",464,854.351729400558,905.882458404905,0.69375
"565",565,867.597285956151,919.128014960498,0.69375
"21",21,871.593114569672,918.439231846352,0.69375
"421",421,891.933682954212,943.464411958559,0.69375
"703",703,893.024304249525,939.870421526204,0.69375
"798",798,893.065462056026,944.596191060373,0.69375
"658",658,896.577855043574,938.739360592585,0.69375
"503",503,898.944753235597,950.475482239944,0.69375
"66",66,900.153081493687,951.683810498034,0.69375
"458",458,912.986790397267,964.517519401614,0.69375
"705",705,931.301070969181,978.14718824586,0.69375
"771",771,824.303902908902,871.150020185582,0.6925
"290",290,837.846019507461,884.69213678414,0.6925
"453",453,841.396510454904,888.242627731584,0.6925
"947",947,849.810713951455,901.341442955803,0.6925
"750",750,881.568319896176,933.099048900523,0.6925
"22",22,884.561877915715,931.407995192394,0.6925
"94",94,891.235378234709,942.766107239056,0.6925
"127",127,896.596796419833,948.12752542418,0.6925
"814",814,919.619523865164,966.465641141843,0.6925
"598",598,926.551567323105,978.082296327452,0.6925
"923",923,956.994762348925,1008.52549135327,0.6925
"834",834,833.841963223798,880.688080500477,0.69125
"196",196,859.863066697275,911.393795701623,0.69125
"554",554,866.257591086599,917.788320090946,0.69125
"875",875,890.348790090925,937.194907367604,0.69125
"786",786,908.995214598743,960.52594360309,0.69125
"866",866,928.303012987595,975.149130264274,0.69125
"342",342,951.253116333942,998.099233610621,0.69125
"185",185,844.187477593806,895.718206598153,0.69
"133",133,851.817888476627,903.348617480974,0.69
"485",485,859.944592834128,897.421486655471,0.69
"175",175,862.934293634932,909.780410911611,0.69
"669",669,884.930544296665,936.461273301012,0.69
"867",867,819.605833652769,871.136562657116,0.68875
"162",162,843.6635674874,895.194296491747,0.68875
"247",247,848.315869596104,895.161986872783,0.68875
"284",284,861.370770956588,908.216888233267,0.68875
"944",944,864.364913220294,911.211030496973,0.68875
"691",691,866.455748121967,917.986477126315,0.68875
"268",268,887.716298649525,934.562415926204,0.68875
"864",864,891.074680599413,937.920797876092,0.68875
"373",373,893.656313546252,940.502430822931,0.68875
"694",694,904.228931507949,955.759660512297,0.68875
"739",739,919.220851638761,970.751580643108,0.68875
"383",383,833.815089725571,885.345818729919,0.6875
"299",299,840.949290613154,887.795407889833,0.6875
"151",151,846.896512534139,898.427241538487,0.6875
"587",587,856.624510360843,903.470627637523,0.6875
"966",966,868.552590358625,920.083319362973,0.6875
"811",811,881.007006654692,932.53773565904,0.6875
"767",767,892.099391647991,938.94550892467,0.6875
"953",953,901.068192451553,947.914309728232,0.6875
"192",192,917.181983283766,964.028100560445,0.6875
"165",165,932.330171838185,979.176289114865,0.6875
"660",660,829.524016891452,876.370134168132,0.68625
"280",280,840.03983774513,886.88595502181,0.68625
"810",810,842.650725711534,889.496842988213,0.68625
"832",832,851.809305115936,893.970810664948,0.68625
"783",783,859.150835217434,901.312340766445,0.68625
"635",635,863.357675564775,910.203792841455,0.68625
"523",523,865.427396942805,912.273514219484,0.68625
"129",129,878.219307239243,929.75003624359,0.68625
"979",979,887.97672824798,934.82284552466,0.68625
"338",338,905.444208296849,956.974937301196,0.68625
"396",396,936.900903085681,979.062408634692,0.68625
"408",408,836.365861049224,883.211978325903,0.685
"765",765,850.038497311325,901.569226315672,0.685
"425",425,857.882257839595,904.728375116274,0.685
"471",471,863.146350913632,909.992468190312,0.685
"57",57,887.430005881502,938.960734885849,0.685
"87",87,904.015999240528,950.862116517207,0.685
"389",389,904.488993733475,956.019722737822,0.685
"939",939,869.926851191479,921.457580195826,0.68375
