"","formula","aics","bics","acc"
"105",105,858.472983450428,900.634488999439,0.75625
"648",648,796.823995860064,848.354724864412,0.7475
"332",332,817.371345295771,864.217462572451,0.7475
"75",75,817.684441345055,864.530558621734,0.7475
"595",595,831.966169331322,869.443063152666,0.74625
"77",77,824.132971636548,870.979088913227,0.7425
"143",143,848.884576161311,900.415305165658,0.74
"258",258,826.590835802644,878.121564806991,0.73875
"127",127,812.936750674901,864.467479679248,0.7375
"397",397,845.759061095994,892.605178372674,0.7375
"787",787,827.033988605098,873.880105881778,0.73625
"256",256,833.554252043788,880.400369320467,0.735
"301",301,845.841402698311,892.687519974991,0.735
"304",304,878.998965160739,930.529694165086,0.735
"362",362,838.358661770423,889.88939077477,0.73375
"346",346,849.139450610077,900.670179614425,0.73375
"244",244,845.107252922732,891.953370199411,0.7325
"43",43,831.127108496087,882.657837500434,0.73125
"821",821,890.962822846061,933.124328395072,0.73125
"348",348,828.323461654343,879.85419065869,0.73
"926",926,886.563362444316,938.094091448663,0.73
"642",642,888.715510630297,935.561627906976,0.73
"409",409,827.725622285592,879.256351289939,0.72875
"289",289,830.031382365599,876.877499642278,0.72875
"13",13,799.871001158732,851.40173016308,0.7275
"147",147,825.551789134176,872.397906410855,0.7275
"537",537,835.995627739637,878.157133288648,0.7275
"969",969,846.630343155107,893.476460431786,0.7275
"507",507,833.072586841676,884.603315846023,0.72625
"548",548,850.730467950622,902.261196954969,0.72625
"206",206,844.61511261117,891.461229887849,0.725
"719",719,822.407589856115,873.938318860462,0.72375
"827",827,853.124685453171,904.655414457518,0.72375
"248",248,862.227247714495,904.388753263506,0.72375
"217",217,887.269777291611,934.11589456829,0.72375
"87",87,825.723159520459,877.253888524807,0.7225
"581",581,825.788787395172,877.319516399519,0.7225
"381",381,824.891878912493,876.42260791684,0.72125
"963",963,833.083686106264,879.929803382944,0.72125
"828",828,841.318278255694,888.164395532373,0.72125
"329",329,887.870976212965,930.032481761977,0.72125
"859",859,892.360200597463,939.206317874142,0.72125
"69",69,927.450130414987,974.296247691667,0.72125
"932",932,825.650668257119,877.181397261466,0.71875
"124",124,845.183116989373,892.029234266052,0.71875
"23",23,849.409550489998,900.940279494345,0.71875
"91",91,820.686972133871,872.217701138218,0.7175
"795",795,838.846716092561,890.377445096908,0.7175
"167",167,843.942703549937,886.104209098948,0.7175
"516",516,859.833795606563,911.36452461091,0.7175
"347",347,888.231614462675,939.762343467022,0.7175
"366",366,933.66426054033,985.194989544677,0.7175
"610",610,828.526438524578,880.057167528925,0.71625
"915",915,843.071379270686,885.232884819697,0.71625
"497",497,883.757886264527,935.288615268874,0.71625
"276",276,811.984541634694,863.515270639042,0.715
"28",28,852.708638467534,899.554755744214,0.715
"155",155,874.16485585132,921.010973128,0.715
"544",544,893.286082078945,940.132199355624,0.715
"912",912,831.97665751533,883.507386519677,0.71375
"590",590,840.517857162277,892.048586166624,0.71375
"558",558,841.429169309726,892.959898314073,0.71375
"117",117,860.647132933047,912.177861937394,0.71375
"172",172,833.995387046488,885.526116050835,0.7125
"492",492,844.239045990295,895.769774994642,0.7125
"335",335,844.662275056982,896.19300406133,0.7125
"857",857,889.193898055873,940.72462706022,0.7125
"110",110,900.889281525162,947.735398801841,0.71125
"935",935,800.884743904729,852.415472909076,0.71
"404",404,837.734478417726,884.580595694406,0.71
"452",452,849.640175787418,896.486293064097,0.71
"646",646,885.354364994854,932.200482271534,0.71
"637",637,901.658891509366,948.505008786045,0.71
"1000",1000,838.87248005374,885.718597330419,0.70875
"954",954,842.106714172882,888.952831449561,0.70875
"950",950,844.018808301249,890.864925577929,0.70875
"239",239,871.590125749593,923.12085475394,0.70875
"993",993,921.209475221382,972.740204225729,0.70875
"826",826,839.711094391545,891.241823395892,0.7075
"812",812,845.574218382572,887.735723931583,0.7075
"836",836,849.201822619855,896.047939896534,0.7075
"884",884,854.112196782981,905.642925787328,0.7075
"207",207,855.079185190014,897.240690739025,0.7075
"844",844,903.465671899439,950.311789176118,0.7075
"913",913,884.597459097999,936.128188102347,0.70625
"538",538,896.502013473584,943.348130750264,0.70625
"671",671,825.285460382119,872.131577658798,0.705
"166",166,826.749071588063,878.27980059241,0.705
"51",51,829.199012637809,876.045129914488,0.705
"528",528,836.253121436459,887.783850440806,0.705
"714",714,854.275113636902,905.805842641249,0.705
