"","formula","aics","bics","acc"
"497",497,799.501453702006,851.032182706354,0.7475
"171",171,831.421991643184,882.952720647531,0.74625
"961",961,848.71049810437,900.241227108718,0.74625
"92",92,810.600266374632,862.130995378979,0.74375
"782",782,819.543984790978,871.074713795325,0.74375
"134",134,832.37346455502,879.219581831699,0.74375
"403",403,838.658928102244,885.505045378923,0.74375
"892",892,844.3209978305,895.851726834847,0.7425
"626",626,840.058622931707,891.589351936055,0.74125
"887",887,907.904988774765,954.751106051444,0.74
"992",992,814.153263932008,865.683992936355,0.73875
"766",766,803.976325130265,850.822442406944,0.7375
"168",168,855.73714056031,907.267869564657,0.73625
"624",624,833.390732869843,880.236850146522,0.73375
"480",480,823.629292314943,870.475409591622,0.7325
"250",250,830.814626506244,872.976132055256,0.7325
"202",202,846.000220311871,897.530949316219,0.7325
"638",638,875.331490867251,926.862219871598,0.7325
"501",501,852.311188090418,899.157305367097,0.73125
"409",409,828.890081378877,880.420810383225,0.73
"614",614,838.895356173347,885.741473450026,0.73
"227",227,833.154307954301,884.685036958648,0.7275
"787",787,838.9634256195,890.494154623847,0.7275
"150",150,872.519243987162,924.049972991509,0.7275
"622",622,828.698125808474,880.228854812822,0.72625
"65",65,830.339002510525,881.869731514872,0.72625
"331",331,835.84628392494,887.377012929287,0.72625
"783",783,848.725042859689,900.255771864037,0.72625
"920",920,853.129325064926,899.975442341605,0.72625
"798",798,867.770903152842,914.617020429522,0.72625
"418",418,879.731539134243,926.577656410922,0.72625
"800",800,830.032975708604,872.194481257615,0.725
"56",56,893.821740196492,940.667857473171,0.725
"977",977,856.138471968941,907.669200973288,0.7225
"871",871,878.574875657729,930.105604662076,0.7225
"29",29,807.742188735214,859.272917739561,0.72125
"948",948,844.319061156153,891.165178432832,0.72125
"246",246,857.36228544545,904.20840272213,0.72125
"825",825,846.840084557628,898.370813561975,0.72
"654",654,791.298115650853,842.8288446552,0.71875
"625",625,826.491899095502,878.02262809985,0.71875
"373",373,825.129467412122,871.975584688802,0.7175
"272",272,841.079725325032,887.925842601711,0.7175
"76",76,848.312206082194,899.842935086541,0.7175
"207",207,891.369046405795,942.899775410142,0.7175
"374",374,894.152086250944,945.682815255291,0.7175
"252",252,824.373661522481,875.904390526828,0.71625
"665",665,843.673147678109,890.519264954789,0.71625
"968",968,855.408025982994,902.254143259674,0.71625
"399",399,800.712539170516,847.558656447195,0.715
"7",7,817.910773525804,860.072279074816,0.715
"690",690,844.200522105566,895.731251109913,0.715
"311",311,847.715899169778,899.246628174126,0.715
"780",780,857.154719914553,904.000837191232,0.715
"491",491,862.167340320738,909.013457597417,0.715
"815",815,896.520739902151,943.366857178831,0.715
"169",169,896.716370306237,943.562487582916,0.715
"472",472,902.018836176111,953.549565180458,0.715
"14",14,851.799952934628,903.330681938975,0.71375
"646",646,873.995849490479,920.841966767159,0.71375
"23",23,907.792463634634,959.323192638981,0.71375
"102",102,831.099451817316,882.630180821663,0.7125
"464",464,846.524688261303,898.055417265651,0.7125
"570",570,847.64010358371,889.801609132722,0.7125
"476",476,869.244033382191,906.720927203535,0.7125
"981",981,932.618768375363,979.464885652042,0.7125
"499",499,844.814589780576,886.976095329588,0.71125
"980",980,884.119371832577,935.650100836924,0.71125
"70",70,899.001198849952,945.847316126632,0.71125
"333",333,899.938966138872,951.469695143219,0.71125
"832",832,905.585115941926,952.431233218606,0.71125
"433",433,928.78894918285,970.950454731861,0.71125
"746",746,961.164353134167,1008.01047041085,0.71125
"612",612,822.941112857298,874.471841861645,0.71
"603",603,826.011099186435,877.541828190783,0.71
"909",909,832.026850095761,878.87296737244,0.71
"623",623,840.015597933803,891.54632693815,0.71
"881",881,900.457392178318,947.303509454998,0.71
"705",705,836.950625303454,888.481354307801,0.70875
"450",450,845.587023706118,892.433140982797,0.70875
"77",77,850.44188083341,897.287998110089,0.70875
"34",34,850.590167050971,902.120896055318,0.70875
"414",414,807.188024467644,858.718753471991,0.7075
"431",431,813.796068445312,855.957573994324,0.7075
"543",543,846.328764146118,897.859493150465,0.7075
"308",308,895.139591840674,941.985709117353,0.7075
"186",186,835.24666660987,886.777395614217,0.70625
"122",122,844.495927469756,891.342044746435,0.70625
"486",486,849.664062373081,896.510179649761,0.70625
"449",449,853.383251196742,904.913980201089,0.70625
"500",500,874.622869827566,916.784375376577,0.70625
"639",639,818.426235258837,865.272352535516,0.705
"601",601,822.295765624215,873.826494628563,0.705
"804",804,832.132356403951,878.97847368063,0.705
"765",765,837.499117235859,889.029846240206,0.705
"853",853,838.279609809797,885.125727086476,0.705
"695",695,843.157653377116,885.319158926127,0.705
"389",389,854.542361447018,901.388478723697,0.705
"704",704,857.249803656728,899.41130920574,0.705
"425",425,829.043830856548,880.574559860895,0.70375
"114",114,875.26201111644,922.108128393119,0.70375
"928",928,846.482860995568,898.013589999915,0.7025
"307",307,848.092260835709,894.938378112388,0.7025
"223",223,851.85799924445,903.388728248797,0.7025
"147",147,857.51704135124,909.047770355587,0.7025
"629",629,861.24686884111,912.777597845458,0.7025
"1000",1000,902.714785887995,954.245514892342,0.7025
"393",393,909.745748803511,961.276477807859,0.7025
"610",610,841.704819179473,888.550936456152,0.70125
"814",814,852.384853929776,903.915582934124,0.70125
"410",410,856.379355797225,907.910084801572,0.70125
"60",60,856.765460037323,903.611577314002,0.70125
"294",294,888.902684073223,935.748801349902,0.70125
"758",758,838.197575165754,889.728304170101,0.7
"423",423,849.159895985444,900.690624989791,0.7
"995",995,853.705629440015,905.236358444362,0.7
"905",905,853.836476277547,900.682593554226,0.7
"290",290,858.947977090944,905.794094367623,0.7
"650",650,875.73976226495,922.585879541629,0.7
"131",131,876.783619867258,928.314348871605,0.7
"563",563,891.421209283457,938.267326560136,0.7
"164",164,943.062437769974,985.223943318985,0.7
"689",689,804.132306866839,850.978424143519,0.69875
"55",55,840.918327583284,887.764444859964,0.69875
"743",743,846.393943436095,897.924672440443,0.69875
"459",459,859.714509537565,906.560626814244,0.69875
"11",11,863.156266256525,910.002383533205,0.69875
"562",562,815.374575057632,866.905304061979,0.6975
"775",775,823.861096562458,875.391825566806,0.6975
"569",569,853.657409193858,900.503526470538,0.6975
"321",321,869.189970055312,911.351475604323,0.6975
"571",571,880.50189198195,927.348009258629,0.6975
"270",270,883.268306407005,930.114423683684,0.6975
