"","formula","aics","bics","acc"
"778",778,805.178311315127,856.709040319475,0.755
"670",670,890.62270405765,942.153433061997,0.755
"878",878,817.434936986634,868.965665990981,0.74875
"375",375,793.102861442716,844.633590447064,0.74625
"236",236,809.832552738736,861.363281743083,0.74625
"672",672,819.879096054923,866.725213331602,0.745
"587",587,825.991869914494,868.153375463505,0.745
"436",436,815.400654311217,866.931383315564,0.73875
"141",141,820.279384612383,871.81011361673,0.73875
"999",999,821.042930031829,872.573659036176,0.7375
"90",90,823.1008411361,874.631570140447,0.7375
"211",211,829.027960208612,880.558689212959,0.7375
"912",912,834.615186824174,886.145915828521,0.73375
"126",126,838.821424728415,890.352153732762,0.73375
"428",428,826.017287944795,877.548016949142,0.73125
"283",283,834.4732062529,886.003935257248,0.73
"263",263,830.576600086645,877.422717363324,0.72875
"120",120,837.870174359752,889.400903364099,0.72875
"784",784,849.899948214165,901.430677218512,0.72875
"394",394,834.01235273518,876.173858284191,0.7275
"714",714,835.708269771495,882.554387048174,0.7275
"536",536,846.413317604485,888.574823153496,0.7275
"282",282,847.185041159161,898.715770163509,0.7275
"474",474,813.309064884565,864.839793888913,0.72625
"611",611,837.755512225275,879.917017774286,0.72625
"201",201,838.495607326519,885.341724603198,0.72625
"729",729,847.281798306694,894.127915583373,0.72625
"953",953,859.10305010982,910.633779114167,0.72625
"581",581,895.997127221223,947.52785622557,0.72625
"309",309,876.910256464604,928.440985468951,0.725
"544",544,841.92343866859,888.769555945269,0.72375
"97",97,876.366585987269,923.212703263949,0.72375
"486",486,821.868016557682,864.029522106694,0.7225
"294",294,851.269844253122,898.115961529801,0.7225
"945",945,814.126076931543,865.656805935891,0.72125
"437",437,840.99783341883,892.528562423178,0.72125
"589",589,891.539039839295,943.069768843642,0.72
"894",894,834.999099003289,886.529828007637,0.7175
"604",604,839.521517418344,886.367634695024,0.7175
"174",174,841.932621982317,888.778739258996,0.7175
"46",46,818.188821917462,869.719550921809,0.71625
"733",733,916.734876853725,968.265605858072,0.715
"524",524,849.323142740898,900.853871745245,0.71375
"179",179,855.041546148225,901.887663424905,0.71375
"473",473,908.223198146417,959.753927150765,0.71375
"632",632,831.692571194226,878.538688470905,0.7125
"153",153,846.384996267134,893.231113543814,0.7125
"21",21,881.7408025164,933.271531520747,0.7125
"358",358,924.623463364673,971.469580641352,0.7125
"614",614,808.354437480886,859.885166485233,0.71125
"465",465,854.074960058632,905.605689062979,0.71125
"334",334,861.1531336758,912.683862680147,0.71125
"563",563,901.943177325974,953.473906330321,0.71125
"922",922,820.338106036285,867.184223312964,0.71
"388",388,846.239477974524,893.085595251203,0.71
"982",982,841.130798923447,892.661527927795,0.70875
"60",60,850.527342160405,897.373459437084,0.70875
"136",136,863.928074697504,915.458803701851,0.70875
"276",276,872.339158258588,914.500663807599,0.70875
"182",182,878.380928623037,929.911657627385,0.70875
"138",138,889.882033143933,936.728150420613,0.70875
"692",692,902.580295121282,954.111024125629,0.70875
"37",37,835.837963133196,887.368692137543,0.7075
"70",70,853.581513552361,905.112242556708,0.7075
"392",392,899.346982838587,941.508488387598,0.7075
"535",535,829.977911293012,881.508640297359,0.70625
"460",460,852.417817246297,903.948546250644,0.70625
"808",808,855.401830342429,906.932559346776,0.70625
"760",760,872.367019782798,914.528525331809,0.70625
"963",963,875.653533651306,922.499650927986,0.70625
"616",616,905.806378139739,952.652495416418,0.70625
"686",686,952.129024747568,998.975142024247,0.70625
"782",782,839.806831683966,891.337560688314,0.705
"660",660,870.559509143665,922.090238148012,0.705
"423",423,896.827204440388,943.673321717068,0.705
"56",56,915.940717503278,958.102223052289,0.705
"311",311,841.379917334005,888.226034610685,0.70375
"703",703,861.134433710589,907.980550987268,0.70375
"722",722,946.424863206308,997.955592210655,0.70375
"30",30,817.66668223008,869.197411234428,0.7025
"771",771,841.317176712922,892.847905717269,0.7025
"50",50,858.662567580887,900.824073129899,0.7025
"736",736,860.807936491276,907.654053767955,0.7025
"210",210,889.79134845044,931.952853999451,0.7025
"735",735,852.915856229567,904.446585233914,0.70125
"790",790,864.051220459292,915.581949463639,0.70125
"831",831,906.28059390019,957.811322904537,0.70125
"331",331,833.729129602717,880.575246879396,0.7
"159",159,853.909887530781,905.440616535128,0.7
"490",490,895.698029725879,942.544147002559,0.7
"978",978,912.155436975032,954.316942524043,0.69875
"410",410,844.076664174192,895.607393178539,0.6975
"843",843,849.900012180419,896.746129457098,0.6975
"590",590,907.389144886807,954.235262163486,0.6975
"139",139,928.399785761681,975.24590303836,0.6975
"817",817,826.921351067955,878.452080072302,0.69625
"887",887,842.828817010304,889.674934286983,0.69625
"781",781,855.373976097758,906.904705102106,0.69625
"422",422,861.169339413835,912.700068418182,0.69625
"879",879,861.534047100403,913.06477610475,0.69625
"854",854,879.054556931328,925.900674208007,0.69625
"789",789,906.374685172345,953.220802449025,0.69625
"458",458,915.966406843992,967.497135848339,0.69625
"467",467,843.547977834092,890.394095110772,0.695
"947",947,905.921554570216,952.767671846895,0.695
"14",14,968.268765037521,1015.1148823142,0.695
"925",925,833.056606135557,879.902723412236,0.69375
"939",939,840.766088073161,892.296817077508,0.69375
"651",651,840.782090668776,887.628207945455,0.69375
"766",766,844.548088599694,896.078817604041,0.69375
"630",630,860.100990924584,911.631719928932,0.69375
"932",932,870.062377154946,916.908494431625,0.69375
"724",724,876.645336509201,923.49145378588,0.69375
"772",772,897.224942938405,939.386448487417,0.69375
"695",695,925.80541750721,972.651534783889,0.69375
"503",503,926.681671690717,973.527788967396,0.69375
"49",49,845.748877972393,897.27960697674,0.6925
"880",880,872.743585456853,924.2743144612,0.6925
"143",143,873.596299350355,925.127028354702,0.6925
"571",571,890.557626813463,942.088355817811,0.6925
"849",849,936.503244778605,988.033973782952,0.6925
"706",706,948.288343062323,995.134460339002,0.6925
"943",943,822.147471162256,864.308976711267,0.69125
"746",746,824.589334871385,871.435452148064,0.69125
"823",823,846.126343886708,897.657072891055,0.69125
"214",214,869.421830124319,920.952559128666,0.69125
"886",886,882.56526186197,924.726767410981,0.69125
"646",646,885.580382831988,937.111111836335,0.69125
"148",148,888.634352511596,940.165081515943,0.69125
"716",716,891.304182781073,942.83491178542,0.69125
"619",619,911.568215865287,958.414333141966,0.69125
"335",335,818.046510484351,864.89262776103,0.69
"194",194,849.294024549971,896.140141826651,0.69
"901",901,856.592486256189,908.123215260537,0.69
"213",213,862.009827471419,908.855944748099,0.69
"200",200,875.193076866426,917.354582415437,0.69
"927",927,880.420360771319,931.951089775667,0.69
"795",795,891.9179811845,934.079486733511,0.69
"989",989,895.622501418049,942.468618694728,0.69
"551",551,915.375220891346,966.905949895693,0.69
"365",365,918.805729377659,965.651846654338,0.69
"158",158,838.261833356725,885.107950633404,0.68875
"682",682,843.706792827927,890.552910104606,0.68875
"531",531,844.296542849086,895.827271853433,0.68875
"438",438,867.929285791604,910.090791340615,0.68875
"336",336,883.834971931269,935.365700935616,0.68875
"971",971,904.667049454638,956.197778458985,0.68875
"983",983,931.636085088452,983.166814092799,0.68875
"749",749,941.413958765284,988.260076041963,0.68875
"205",205,949.628907830105,996.475025106784,0.68875
"628",628,826.276689019775,877.807418024122,0.6875
"1000",1000,841.663287561726,888.509404838405,0.6875
"163",163,850.355675263079,897.201792539758,0.6875
"387",387,853.550137570474,905.080866574821,0.6875
"326",326,855.460448306954,906.991177311301,0.6875
"752",752,866.876280079452,918.407009083799,0.6875
"981",981,868.533099747108,915.379217023787,0.6875
"522",522,887.495446726268,934.341564002948,0.6875
"68",68,889.65702114681,941.187750151157,0.6875
"270",270,894.761576978975,936.923082527987,0.6875
"900",900,904.925457543009,956.456186547356,0.6875
"899",899,911.058175705579,957.904292982259,0.6875
"370",370,922.86935209187,969.715469368549,0.6875
