"","formula","aics","bics","acc"
"952",952,819.092261547844,865.938378824523,0.7575
"364",364,814.093137233405,865.623866237752,0.75625
"173",173,826.469798842721,873.3159161194,0.75625
"408",408,823.91278679412,870.758904070799,0.74875
"223",223,821.899779523948,873.430508528295,0.74625
"366",366,816.675674146751,868.206403151098,0.745
"398",398,826.637678346898,878.168407351245,0.74375
"775",775,846.181780702513,893.027897979192,0.7425
"327",327,821.67613849083,873.206867495177,0.74125
"216",216,825.949395402993,877.48012440734,0.73875
"356",356,844.199510539631,891.04562781631,0.73875
"121",121,850.911712550637,897.757829827316,0.73875
"432",432,830.626252861626,882.156981865973,0.7375
"110",110,823.141347304516,869.987464581195,0.73625
"473",473,848.611732763179,895.457850039858,0.73625
"330",330,835.989957478149,887.520686482496,0.735
"540",540,846.596316235721,898.127045240068,0.73375
"222",222,819.499707398231,871.030436402579,0.7325
"686",686,828.955511423707,875.801628700386,0.7325
"426",426,841.008576188305,887.854693464984,0.7325
"384",384,818.209724984334,869.740453988681,0.73125
"762",762,900.615481786425,952.146210790773,0.73125
"998",998,823.241413964075,874.772142968422,0.73
"681",681,825.307853786651,876.838582790999,0.73
"732",732,829.836997268702,881.367726273049,0.73
"155",155,846.13800955137,888.299515100382,0.73
"276",276,798.330164259478,845.176281536157,0.72875
"946",946,872.502507231902,919.348624508581,0.72875
"493",493,830.828943911728,882.359672916075,0.7275
"106",106,838.49341202801,890.024141032357,0.7275
"492",492,857.556654209117,904.402771485796,0.7275
"521",521,860.338634664626,911.869363668973,0.7275
"144",144,867.337639866328,918.868368870675,0.7275
"405",405,852.732514348571,899.57863162525,0.72625
"947",947,873.693154802049,925.223883806396,0.72625
"834",834,895.177785624649,942.023902901329,0.72625
"760",760,906.165571921162,953.011689197841,0.72625
"915",915,840.43226001293,891.962989017278,0.725
"332",332,870.549655017439,922.080384021786,0.725
"53",53,872.865899487261,924.396628491608,0.725
"794",794,812.715107455291,859.56122473197,0.72375
"329",329,820.240267878839,867.086385155518,0.72375
"446",446,837.046561715501,883.89267899218,0.72375
"710",710,837.963572096983,889.49430110133,0.72375
"231",231,842.28905519469,889.135172471369,0.72375
"862",862,926.575645658959,973.421762935638,0.72375
"961",961,828.136491979767,879.667220984115,0.7225
"92",92,834.629682075076,881.475799351755,0.7225
"785",785,863.23515257971,910.081269856389,0.7225
"628",628,843.276723084935,894.807452089282,0.72125
"400",400,854.078998455089,896.240504004101,0.72125
"8",8,823.057039230643,869.903156507322,0.72
"649",649,848.320234936284,899.850963940631,0.72
"96",96,885.647721283687,932.493838560366,0.72
"331",331,910.564280594679,952.725786143691,0.71875
"297",297,857.784375035954,909.315104040301,0.7175
"302",302,917.894126942342,969.424855946689,0.7175
"597",597,807.052808144702,858.58353714905,0.71625
"904",904,828.167848855358,879.698577859705,0.71625
"235",235,838.434282989415,889.965011993762,0.71625
"551",551,832.560706187642,879.406823464322,0.715
"725",725,881.667931244718,933.198660249065,0.715
"577",577,889.634980086605,941.165709090952,0.715
"453",453,833.238195931019,880.084313207699,0.71375
"228",228,837.328739121482,884.174856398162,0.71375
"885",885,845.138764992848,896.669493997195,0.71375
"98",98,855.46821240656,906.998941410907,0.71375
"84",84,900.378227474496,951.908956478843,0.71375
"211",211,902.381829830158,949.227947106837,0.71375
"158",158,932.433747918581,974.595253467593,0.71375
"751",751,834.388144240835,881.234261517514,0.7125
"242",242,861.726075474104,908.572192750783,0.7125
"530",530,874.928023197013,926.45875220136,0.7125
"339",339,844.226581342509,891.072698619188,0.71125
"988",988,846.329143318751,893.17526059543,0.71125
"32",32,853.360562411828,900.206679688507,0.71125
"860",860,870.549127203013,922.07985620736,0.71125
"808",808,817.949361232102,869.480090236449,0.71
"930",930,832.563680490883,874.725186039894,0.71
"627",627,834.513300091975,886.044029096323,0.71
"677",677,841.3616878269,892.892416831247,0.71
"174",174,868.17724317838,919.707972182727,0.71
"407",407,891.059632802836,942.590361807183,0.71
"708",708,901.074763382085,952.605492386432,0.71
"986",986,820.102085808313,871.63281481266,0.70875
"315",315,833.031802727157,884.562531731504,0.70875
"810",810,844.826623387758,891.672740664437,0.70875
"926",926,884.976466403069,936.507195407416,0.70875
"12",12,886.332476804869,933.178594081548,0.70875
"672",672,898.723310357784,950.254039362131,0.70875
"283",283,914.511010972326,961.357128249005,0.70875
"670",670,828.611266554695,880.141995559042,0.7075
"801",801,837.358606465228,888.889335469575,0.7075
"573",573,852.78139716425,899.627514440929,0.7075
"23",23,859.542464548413,906.388581825093,0.7075
"452",452,874.556035776183,926.086764780531,0.7075
"61",61,836.042202595417,887.572931599765,0.70625
"97",97,843.641351765846,890.487469042525,0.70625
"617",617,843.690348357413,885.851853906424,0.70625
"895",895,847.343706246729,898.874435251076,0.70625
"962",962,917.599039396682,964.445156673362,0.70625
"467",467,872.955894138162,924.486623142509,0.705
"659",659,875.320188235052,922.166305511731,0.705
"323",323,884.680685514034,931.526802790713,0.705
"739",739,930.22290435642,977.0690216331,0.705
"83",83,836.536508435548,878.698013984559,0.70375
"963",963,855.113335820817,906.644064825165,0.70375
"55",55,859.910268677402,906.756385954081,0.70375
"359",359,859.949228393129,911.479957397476,0.70375
"479",479,871.885001163071,918.73111843975,0.70375
"537",537,883.47957588444,925.641081433451,0.70375
"401",401,900.921918519649,952.452647523996,0.70375
"22",22,920.107148582629,971.637877586976,0.70375
"619",619,850.024829970397,896.870947247076,0.7025
"950",950,854.395025024715,905.925754029062,0.7025
"850",850,873.500958589398,920.347075866077,0.7025
"854",854,877.422049524144,924.268166800824,0.7025
"491",491,916.343586853488,967.874315857835,0.7025
"600",600,956.57725593738,1003.42337321406,0.7025
"877",877,840.593393356333,892.12412236068,0.70125
"150",150,847.669929555195,894.516046831874,0.70125
"578",578,862.790375210927,904.951880759938,0.70125
"442",442,882.319466644623,933.85019564897,0.70125
"266",266,885.4981233354,937.028852339747,0.70125
"610",610,912.470953516484,964.001682520831,0.70125
"238",238,845.834694190836,897.365423195183,0.7
"676",676,867.183160481658,914.029277758337,0.7
"28",28,869.051027005122,920.581756009469,0.7
"747",747,871.429098905042,918.275216181721,0.7
"77",77,901.874545876228,948.720663152907,0.7
"595",595,920.821872629801,972.352601634148,0.7
"928",928,847.319887839871,898.850616844218,0.69875
"39",39,849.357433687003,896.203550963682,0.69875
"555",555,859.807229738098,911.337958742445,0.69875
"528",528,866.387035695292,913.233152971971,0.69875
"809",809,888.664336274159,940.195065278506,0.69875
"799",799,911.553374438698,958.399491715377,0.69875
"382",382,912.247980911437,963.778709915784,0.69875
"131",131,832.728549229695,874.890054778707,0.6975
"522",522,878.354016782377,920.515522331388,0.6975
"665",665,823.57890946173,875.109638466077,0.69625
"662",662,831.77933786023,878.625455136909,0.69625
"561",561,839.570646592046,886.416763868725,0.69625
"466",466,844.16758703208,895.698316036427,0.69625
"504",504,854.384481328964,905.915210333311,0.69625
"750",750,873.609221465133,925.13995046948,0.69625
"749",749,899.130830455519,945.976947732199,0.69625
"496",496,900.690901885834,947.537019162513,0.69625
"789",789,911.45023228489,962.980961289238,0.69625
"118",118,857.24441731415,899.405922863162,0.695
"543",543,882.609594860642,929.455712137321,0.695
"445",445,825.657096716286,877.187825720633,0.69375
"816",816,852.675721720879,899.521838997559,0.69375
"690",690,872.185076401952,919.031193678631,0.69375
"18",18,880.512957018923,927.359074295602,0.69375
"679",679,898.457553012357,949.988282016705,0.69375
"387",387,913.180478143871,960.026595420551,0.69375
"992",992,916.810845725595,963.656963002274,0.69375
"292",292,948.203054358479,990.364559907491,0.69375
"845",845,956.768166192791,1003.61428346947,0.69375
"428",428,829.153955513489,880.684684517836,0.6925
"558",558,847.697520347878,899.228249352225,0.6925
"15",15,859.06865725937,910.599386263717,0.6925
"791",791,860.675758586174,912.206487590521,0.6925
"128",128,866.206482843678,917.737211848025,0.6925
"548",548,873.312718368679,920.158835645358,0.6925
"813",813,875.689023360323,927.21975236467,0.6925
"835",835,883.975608235284,935.506337239631,0.6925
"220",220,895.878108394174,942.724225670854,0.6925
"165",165,944.944722036885,991.790839313564,0.6925
"335",335,866.649067197975,908.810572746986,0.69125
"180",180,875.233983699136,922.080100975816,0.69125
"386",386,884.701120858042,931.547238134722,0.69125
"720",720,888.983099896048,940.513828900395,0.69125
"478",478,897.868826126244,944.714943402923,0.69125
"49",49,902.224576960275,949.070694236954,0.69125
"352",352,935.265888085997,986.796617090345,0.69125
"707",707,953.724325149463,995.885830698474,0.69125
"598",598,855.099670557415,901.945787834094,0.69
"143",143,869.474801679281,921.005530683628,0.69
