"","formula","aics","bics","acc"
"875",875,820.042526758154,871.573255762501,0.75375
"464",464,853.578136864528,895.739642413539,0.75
"866",866,836.973792010677,888.504521015024,0.745
"577",577,875.525192269935,927.055921274282,0.745
"771",771,810.091688607139,861.622417611486,0.74375
"212",212,833.762555732084,885.293284736431,0.74375
"397",397,842.27098938326,893.801718387608,0.74375
"276",276,844.634858535507,886.796364084518,0.74375
"788",788,821.543295034595,873.074024038942,0.7425
"854",854,812.521080467397,864.051809471744,0.74125
"914",914,822.914320675885,869.760437952565,0.74125
"428",428,863.560735857633,915.09146486198,0.74
"164",164,817.08142097732,868.612149981667,0.73875
"990",990,837.213137587388,884.059254864067,0.73875
"283",283,809.557490858548,861.088219862896,0.73375
"399",399,827.756111322106,879.286840326454,0.73375
"847",847,827.939988270578,879.470717274926,0.7325
"808",808,851.733892573632,898.580009850311,0.7325
"506",506,825.24036757394,876.771096578287,0.73125
"55",55,865.455508415988,916.986237420335,0.73125
"192",192,871.183219805881,922.713948810228,0.73125
"258",258,808.263101257026,855.109218533705,0.73
"617",617,846.070126901438,892.916244178117,0.73
"582",582,848.806681559491,895.65279883617,0.73
"912",912,856.157361355639,907.688090359986,0.73
"975",975,843.59189593799,890.438013214669,0.72875
"457",457,879.292535007355,930.823264011702,0.72875
"293",293,854.163536429798,901.009653706478,0.72625
"712",712,828.256193964885,875.102311241564,0.72375
"425",425,829.026557184414,871.188062733425,0.72375
"846",846,831.082404845315,882.613133849663,0.7225
"685",685,836.47488557292,883.321002849599,0.72125
"121",121,879.345770796445,926.191888073124,0.72125
"375",375,843.833141115226,895.363870119573,0.72
"122",122,853.416265519523,904.94699452387,0.72
"895",895,825.58885114958,877.119580153927,0.71875
"766",766,830.57992642924,882.110655433587,0.71875
"81",81,838.504930828069,890.035659832416,0.71875
"695",695,841.227647889341,892.758376893688,0.71875
"901",901,851.780623428686,903.311352433034,0.71875
"156",156,870.512260708112,917.358377984791,0.71875
"170",170,874.96177896285,926.492507967197,0.71875
"959",959,878.146511926588,924.992629203267,0.71875
"47",47,852.327782686639,903.858511690986,0.7175
"448",448,860.339908979751,911.870637984098,0.7175
"496",496,867.695756603054,919.226485607401,0.7175
"625",625,837.498285719826,884.344402996505,0.71625
"802",802,845.615479020307,892.461596296986,0.71625
"379",379,891.566639194934,938.412756471613,0.71625
"909",909,926.429312824923,968.590818373934,0.71625
"22",22,826.242582025729,873.088699302408,0.715
"407",407,838.449542506128,885.295659782808,0.715
"250",250,840.810559285131,887.656676561811,0.715
"242",242,852.582376387761,904.113105392109,0.715
"578",578,813.212601467393,860.058718744072,0.71375
"559",559,825.672020339597,877.202749343945,0.71375
"188",188,834.348474245213,885.87920324956,0.71375
"162",162,839.682965127401,891.213694131749,0.71375
"72",72,843.267209538865,890.113326815545,0.71375
"67",67,847.352064179667,894.198181456346,0.71375
"34",34,853.428998543519,904.959727547867,0.71375
"796",796,856.002096351669,898.16360190068,0.71375
"591",591,869.091675744441,920.622404748789,0.71375
"515",515,884.543440326571,926.704945875582,0.71375
"867",867,891.331980099658,938.178097376337,0.71375
"543",543,916.577808896739,968.108537901086,0.71375
"784",784,916.683487874133,963.529605150812,0.71375
"125",125,835.390883852941,886.921612857288,0.7125
"927",927,855.449063782977,902.295181059657,0.7125
"233",233,839.445580334475,890.976309338822,0.71125
"489",489,845.796860165985,897.327589170332,0.71125
"492",492,847.414728768573,894.260846045252,0.71125
"627",627,855.903780120308,902.749897396987,0.71125
"99",99,861.68599172979,908.532109006469,0.71125
